"","Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","PlayerURL"
"1",NA,"2023 Palmeiras","Série A","Wéverton","BRA","GK","35",35,938,1193,78.6,25326,17027,163,163,100,475,479,99.2,294,539,54.5,0,0.1,0.1,-0.1,2,18,1,0,0,"https://fbref.com/en/players/81be82e9/Weverton"
"2",NA,"2023 Palmeiras","Série A","Gustavo Gómez","PAR","DF","29",30.7,1393,1676,83.1,27579,10408,404,463,87.3,816,909,89.8,151,260,58.1,3,2.8,1.9,0.2,12,84,3,3,86,"https://fbref.com/en/players/d5ce52a5/Gustavo-Gomez"
"3",NA,"2023 Palmeiras","Série A","Zé Rafael","BRA","MF","29",28.5,1034,1194,86.6,19731,4514,385,427,90.2,489,535,91.4,133,174,76.4,3,1.9,0.9,1.1,19,114,5,0,142,"https://fbref.com/en/players/634b1413/Ze-Rafael"
"4",NA,"2023 Palmeiras","Série A","Raphael Veiga","BRA","MF","27",27.3,895,1211,73.9,17382,5818,387,438,88.4,345,435,79.3,145,272,53.3,7,7.1,8,-0.1,83,129,33,14,186,"https://fbref.com/en/players/6e5a3bc7/Raphael-Veiga"
"5",NA,"2023 Palmeiras","Série A","Joaquín Piquerez","URU","DF","24",28.1,1225,1530,80.1,21285,6523,593,659,90,510,618,82.5,108,185,58.4,5,3.7,3.3,1.3,28,105,33,19,128,"https://fbref.com/en/players/46009f44/Joaquin-Piquerez"
"6",NA,"2023 Palmeiras","Série A","Mayke","BRA","DF,FW","30",27.8,1361,1656,82.2,23911,8170,625,676,92.5,569,686,82.9,142,208,68.3,6,4.3,4.1,1.7,41,103,39,25,144,"https://fbref.com/en/players/47431289/Mayke"
"7",NA,"2023 Palmeiras","Série A","Murilo Cerqueira","BRA","DF","25",24.1,1141,1278,89.3,23588,8939,319,347,91.9,668,713,93.7,147,196,75,2,1.7,1.1,0.3,11,80,1,0,81,"https://fbref.com/en/players/10fe831e/Murilo-Cerqueira"
"8",NA,"2023 Palmeiras","Série A","Artur","BRA","FW","24",21.1,604,820,73.7,9910,2326,301,352,85.5,241,311,77.5,47,97,48.5,2,3.4,4.1,-1.4,45,46,27,10,81,"https://fbref.com/en/players/105132cd/Artur"
"9",NA,"2023 Palmeiras","Série A","Luan Garcia","BRA","DF","29",20.2,880,1036,84.9,21298,7748,140,151,92.7,528,567,93.1,209,297,70.4,1,0.6,0.6,0.4,6,87,4,2,80,"https://fbref.com/en/players/6ebe6cc1/Luan-Garcia"
"10",NA,"2023 Palmeiras","Série A","Gabriel Menino","BRA","MF","22",17.7,940,1153,81.5,18930,5110,335,382,87.7,442,498,88.8,154,227,67.8,3,1.3,1.4,1.7,31,117,16,5,137,"https://fbref.com/en/players/01819e70/Gabriel-Menino"
"11",NA,"2023 Palmeiras","Série A","Richard Ríos","COL","MF","22",20.6,634,792,80.1,11147,2057,287,334,85.9,275,321,85.7,60,81,74.1,1,1,1.2,0,10,53,9,4,63,"https://fbref.com/en/players/72da065d/Richard-Rios"
"12",NA,"2023 Palmeiras","Série A","Rony","BRA","FW","27",18.2,179,253,70.8,2564,452,114,146,78.1,44,62,71,13,19,68.4,0,1.6,1,-1.6,22,3,10,5,11,"https://fbref.com/en/players/bffd5e50/Rony"
"13",NA,"2023 Palmeiras","Série A","Endrick","BRA","FW","16",17.3,255,359,71,4292,1051,130,164,79.3,86,113,76.1,29,41,70.7,0,1.8,2.2,-1.8,15,27,18,4,45,"https://fbref.com/en/players/a2728fbf/Endrick"
"14",NA,"2023 Palmeiras","Série A","Marcos Rocha","BRA","DF","34",14,863,1081,79.8,18449,8068,262,292,89.7,422,489,86.3,169,261,64.8,1,0.9,1.4,0.1,19,104,21,8,95,"https://fbref.com/en/players/fdd2f275/Marcos-Rocha"
"15",NA,"2023 Palmeiras","Série A","Breno","BRA","FW","27",15.2,266,355,74.9,4124,723,133,161,82.6,100,121,82.6,19,35,54.3,3,1.1,1.2,1.9,8,22,10,1,37,"https://fbref.com/en/players/e0016d00/Breno"
"16",NA,"2023 Palmeiras","Série A","Dudu","BRA","FW","31",12,313,434,72.1,5995,1610,138,166,83.1,122,158,77.2,47,78,60.3,3,3.4,1.8,-0.4,25,28,27,7,74,"https://fbref.com/en/players/895ef5ec/Dudu"
"17",NA,"2023 Palmeiras","Série A","Vanderlan","BRA","DF","20",10.1,261,368,70.9,4239,1483,129,149,86.6,110,145,75.9,17,43,39.5,2,1.3,1.1,0.7,7,12,8,5,21,"https://fbref.com/en/players/bd8432ff/Vanderlan"
"18",NA,"2023 Palmeiras","Série A","Jhonatan Jowjow","BRA","MF,FW","20",9.9,224,300,74.7,4108,1200,93,114,81.6,88,107,82.2,34,57,59.6,1,2.9,1.7,-1.9,24,27,11,2,37,"https://fbref.com/en/players/f82517a8/Jhonatan-Jowjow"
"19",NA,"2023 Palmeiras","Série A","José López","ARG","FW,MF","22",6.6,91,150,60.7,1573,422,47,77,61,35,48,72.9,9,16,56.3,0,0.7,0.6,-0.7,10,12,8,1,19,"https://fbref.com/en/players/e1426a52/Jose-Lopez"
"20",NA,"2023 Palmeiras","Série A","Kaiky Naves","BRA","DF,FW","20",5.8,235,269,87.4,4912,2119,62,66,93.9,140,153,91.5,32,44,72.7,0,0,0,0,2,12,0,0,12,"https://fbref.com/en/players/621576f9/Kaiky-Naves"
"21",NA,"2023 Palmeiras","Série A","Luis Guilherme","BRA","FW,MF","16",6.4,182,246,74,3367,744,86,99,86.9,67,88,76.1,27,45,60,0,1.2,1,-1.2,12,16,14,6,28,"https://fbref.com/en/players/b7672d43/Luis-Guilherme"
