"","Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","PlayerURL"
"1",NA,"2023 Palmeiras","Série A","Wéverton","BRA","GK","35",35,1193,861,326,87,0,7,0,0,0,0,0,0,938,6,0,"https://fbref.com/en/players/81be82e9/Weverton"
"2",NA,"2023 Palmeiras","Série A","Gustavo Gómez","PAR","DF","29",30.7,1676,1610,60,55,0,9,11,4,0,0,0,0,1393,6,8,"https://fbref.com/en/players/d5ce52a5/Gustavo-Gomez"
"3",NA,"2023 Palmeiras","Série A","Zé Rafael","BRA","MF","29",28.5,1194,1140,51,44,0,17,11,6,0,0,0,0,1034,3,24,"https://fbref.com/en/players/634b1413/Ze-Rafael"
"4",NA,"2023 Palmeiras","Série A","Raphael Veiga","BRA","MF","27",27.3,1211,942,261,66,9,16,223,9,156,60,65,0,895,8,28,"https://fbref.com/en/players/6e5a3bc7/Raphael-Veiga"
"5",NA,"2023 Palmeiras","Série A","Joaquín Piquerez","URU","DF","24",28.1,1530,1263,259,48,0,15,123,207,2,0,1,0,1225,8,42,"https://fbref.com/en/players/46009f44/Joaquin-Piquerez"
"6",NA,"2023 Palmeiras","Série A","Mayke","BRA","DF,FW","30",27.8,1656,1437,208,35,3,6,117,173,0,0,0,0,1361,11,38,"https://fbref.com/en/players/47431289/Mayke"
"7",NA,"2023 Palmeiras","Série A","Murilo Cerqueira","BRA","DF","25",24.1,1278,1231,44,39,4,11,1,0,0,0,0,0,1141,3,8,"https://fbref.com/en/players/10fe831e/Murilo-Cerqueira"
"8",NA,"2023 Palmeiras","Série A","Artur","BRA","FW","24",21.1,820,766,49,11,3,4,81,13,25,14,2,0,604,5,29,"https://fbref.com/en/players/105132cd/Artur"
"9",NA,"2023 Palmeiras","Série A","Luan Garcia","BRA","DF","29",20.2,1036,999,32,27,1,10,6,4,0,0,0,0,880,5,4,"https://fbref.com/en/players/6ebe6cc1/Luan-Garcia"
"10",NA,"2023 Palmeiras","Série A","Gabriel Menino","BRA","MF","22",17.7,1153,1047,100,55,2,24,55,18,24,10,6,0,940,6,16,"https://fbref.com/en/players/01819e70/Gabriel-Menino"
"11",NA,"2023 Palmeiras","Série A","Richard Ríos","COL","MF","22",20.6,792,759,29,26,2,2,26,3,0,0,0,0,634,4,29,"https://fbref.com/en/players/72da065d/Richard-Rios"
"12",NA,"2023 Palmeiras","Série A","Rony","BRA","FW","27",18.2,253,237,14,0,0,1,22,6,0,0,0,0,179,2,12,"https://fbref.com/en/players/bffd5e50/Rony"
"13",NA,"2023 Palmeiras","Série A","Endrick","BRA","FW","16",17.3,359,315,39,4,3,2,18,12,1,1,0,0,255,5,15,"https://fbref.com/en/players/a2728fbf/Endrick"
"14",NA,"2023 Palmeiras","Série A","Marcos Rocha","BRA","DF","34",14,1081,876,200,57,3,13,26,137,1,0,0,0,863,5,17,"https://fbref.com/en/players/fdd2f275/Marcos-Rocha"
"15",NA,"2023 Palmeiras","Série A","Breno","BRA","FW","27",15.2,355,349,1,0,0,1,29,1,0,0,0,0,266,5,11,"https://fbref.com/en/players/e0016d00/Breno"
"16",NA,"2023 Palmeiras","Série A","Dudu","BRA","FW","31",12,434,400,32,10,1,13,39,14,8,1,1,1,313,2,17,"https://fbref.com/en/players/895ef5ec/Dudu"
"17",NA,"2023 Palmeiras","Série A","Vanderlan","BRA","DF","20",10.1,368,295,71,7,0,1,28,64,0,0,0,0,261,2,18,"https://fbref.com/en/players/bd8432ff/Vanderlan"
"18",NA,"2023 Palmeiras","Série A","Jhonatan Jowjow","BRA","MF,FW","20",9.9,300,281,18,4,3,5,26,1,13,11,0,0,224,1,11,"https://fbref.com/en/players/f82517a8/Jhonatan-Jowjow"
"19",NA,"2023 Palmeiras","Série A","José López","ARG","FW,MF","22",6.6,150,144,4,0,0,1,8,0,0,0,0,0,91,2,5,"https://fbref.com/en/players/e1426a52/Jose-Lopez"
"20",NA,"2023 Palmeiras","Série A","Kaiky Naves","BRA","DF,FW","20",5.8,269,240,26,20,0,2,0,1,0,0,0,0,235,3,1,"https://fbref.com/en/players/621576f9/Kaiky-Naves"
"21",NA,"2023 Palmeiras","Série A","Luis Guilherme","BRA","FW,MF","16",6.4,246,220,23,4,0,4,32,6,12,7,4,0,182,3,4,"https://fbref.com/en/players/b7672d43/Luis-Guilherme"
"22",NA,"2023 Palmeiras","Série A","Fabinho","BRA","MF","20",6.5,316,311,4,3,1,12,2,1,0,0,0,0,261,1,7,"https://fbref.com/en/players/ff0e595c/Fabinho"
"23",NA,"2023 Palmeiras","Série A","García","BRA","DF","21",3.3,183,142,40,5,1,0,13,35,0,0,0,0,134,1,2,"https://fbref.com/en/players/45d071f4/Garcia"
"24",NA,"2023 Palmeiras","Série A","Marcelo Lomba","BRA","GK","36",3,102,68,33,10,0,0,0,0,0,0,0,0,74,1,0,"https://fbref.com/en/players/e4835e3c/Marcelo-Lomba"
"25",NA,"2023 Palmeiras","Série A","Kevin","BRA","FW,DF","20",2.6,80,78,1,1,0,2,9,0,0,0,0,0,54,1,2,"https://fbref.com/en/players/93508980/Kevin"
"26",NA,"2023 Palmeiras","Série A","Jailson Siqueira","BRA","MF,DF","27",1.8,58,55,2,1,0,1,0,1,0,0,0,0,45,1,4,"https://fbref.com/en/players/b4819112/Jailson-Siqueira"
"27",NA,"2023 Palmeiras","Série A","Rafael Navarro","BRA","FW","22",1.4,35,32,3,0,0,0,0,0,0,0,0,0,27,0,3,"https://fbref.com/en/players/4b5ab509/Rafael-Navarro"
"28",NA,"2023 Palmeiras","Série A","Bruno Tabata","BRA","MF,FW","25",1.4,72,67,5,0,1,2,10,5,0,0,0,0,51,0,5,"https://fbref.com/en/players/33fdf90d/Bruno-Tabata"
"29",NA,"2023 Palmeiras","Série A","Ian Custódio","BRA","DF","19",0.2,7,6,1,0,0,0,0,1,0,0,0,0,3,0,0,"https://fbref.com/en/players/4d92291e/Ian-Custodio"
"30",NA,"2023 Palmeiras","Série A","Giovani","BRA","FW","19",0.2,9,9,0,0,1,0,1,0,0,0,0,0,4,0,0,"https://fbref.com/en/players/a199bd5f/Giovani"
"31",NA,"2023 Palmeiras","Série A","Estevão","BRA","FW","16",0.1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/2eda11b1/Estevao"
"32",NA,"2023 Palmeiras","Série A","Eduard Atuesta","COL","MF","25",0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,"https://fbref.com/en/players/60990b81/Eduard-Atuesta"
"33",NA,"2023 Palmeiras","Série A","Kauan Santos","BRA","FW","18",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/472b3ddb/Kauan-Santos"
"34",NA,"2023 Grêmio","","Luis Suárez","URU","FW","36",32,1091,999,87,13,7,8,31,9,2,1,0,0,762,5,36,"https://fbref.com/en/players/a6154613/Luis-Suarez"
