"","Season","Squad","Comp","Player","Nation","Pos","Age","MP","Min_Playing_Time","Mn_per_MP_Playing_Time","Min_percent_Playing_Time","Mins_Per_90_Playing_Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team_Success","onG_Team_Success","onGA_Team_Success","Plus_Minus_Team_Success","Plus_Minus90_Team_Success","On_minus_Off_Team_Success","onxG_Team_Success_xG_","onxGA_Team_Success_xG","xGPlus_Minus_Team_Success_xG","xGPlus_Minus90_Team_Success_xG","On_minus_Off_Team_Success_xG","PlayerURL","MP_Playing_Time"
"1",NA,"2023 Palmeiras","Série A","Wéverton","BRA","GK","35",35,3150,90,92.1,35,35,90,35,0,NA,0,1.91,62,30,32,0.91,1.25,53.5,34.7,18.8,0.54,0.85,"https://fbref.com/en/players/81be82e9/Weverton",NA
"2",NA,"2023 Palmeiras","Série A","Gustavo Gómez","PAR","DF","29",32,2760,86,80.7,30.7,32,86,29,0,NA,0,1.72,49,29,20,0.65,-0.85,45.8,31.1,14.7,0.48,0.04,"https://fbref.com/en/players/d5ce52a5/Gustavo-Gomez",NA
"3",NA,"2023 Palmeiras","Série A","Zé Rafael","BRA","MF","29",31,2565,83,75,28.5,31,83,15,0,NA,0,1.97,48,22,26,0.91,0.39,41.6,25.7,15.9,0.56,0.35,"https://fbref.com/en/players/634b1413/Ze-Rafael",NA
"4",NA,"2023 Palmeiras","Série A","Raphael Veiga","BRA","MF","27",31,2453,79,71.7,27.3,30,81,8,1,32,0,2,48,20,28,1.03,0.75,40.2,23.2,17,0.62,0.54,"https://fbref.com/en/players/6e5a3bc7/Raphael-Veiga",NA
"5",NA,"2023 Palmeiras","Série A","Joaquín Piquerez","URU","DF","24",29,2526,87,73.9,28.1,29,87,25,0,NA,1,2.07,54,22,32,1.14,1.24,42.4,23.8,18.6,0.66,0.74,"https://fbref.com/en/players/46009f44/Joaquin-Piquerez",NA
"6",NA,"2023 Palmeiras","Série A","Mayke","BRA","DF,FW","30",33,2498,76,73,27.8,28,85,19,5,23,0,1.88,44,21,23,0.83,0.05,39.6,25.4,14.3,0.51,0.16,"https://fbref.com/en/players/47431289/Mayke",NA
"7",NA,"2023 Palmeiras","Série A","Murilo Cerqueira","BRA","DF","25",25,2165,87,63.3,24.1,24,89,22,1,19,2,1.96,43,23,20,0.83,0.04,35.1,24.6,10.6,0.44,-0.08,"https://fbref.com/en/players/10fe831e/Murilo-Cerqueira",NA
"8",NA,"2023 Palmeiras","Série A","Artur","BRA","FW","24",31,1896,61,55.4,21.1,22,76,4,9,24,4,2.06,42,16,26,1.23,0.94,31.9,15.5,16.4,0.78,0.7,"https://fbref.com/en/players/105132cd/Artur",NA
"9",NA,"2023 Palmeiras","Série A","Luan Garcia","BRA","DF","29",23,1819,79,53.2,20.2,21,86,18,2,12,12,1.91,34,17,17,0.84,0.05,30.3,21.7,8.6,0.43,-0.09,"https://fbref.com/en/players/6ebe6cc1/Luan-Garcia",NA
"10",NA,"2023 Palmeiras","Série A","Gabriel Menino","BRA","MF","22",24,1593,66,46.6,17.7,21,70,5,3,38,0,1.71,27,14,13,0.73,-0.15,22.8,14.5,8.3,0.47,0,"https://fbref.com/en/players/01819e70/Gabriel-Menino",NA
