"","Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_Ons","Succ_Take_Ons","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","PlayerURL"
"1",NA,"2023 Palmeiras","Série A","Wéverton","BRA","GK","35",35,1255,1011,1240,15,0,0,1255,0,0,NA,0,NA,714,3786,2327,0,0,0,0,0,596,0,"https://fbref.com/en/players/81be82e9/Weverton"
"2",NA,"2023 Palmeiras","Série A","Gustavo Gómez","PAR","DF","29",30.7,1960,179,863,989,119,61,1960,6,5,83.3,1,16.7,1121,5117,2906,13,11,1,15,2,1300,19,"https://fbref.com/en/players/d5ce52a5/Gustavo-Gomez"
"3",NA,"2023 Palmeiras","Série A","Zé Rafael","BRA","MF","29",28.5,1500,47,278,998,252,26,1500,70,30,42.9,31,44.3,855,5053,2764,42,37,4,35,25,948,39,"https://fbref.com/en/players/634b1413/Ze-Rafael"
"4",NA,"2023 Palmeiras","Série A","Raphael Veiga","BRA","MF","27",27.3,1472,20,114,676,702,55,1470,64,30,46.9,27,42.2,833,5119,2680,80,72,9,36,22,983,121,"https://fbref.com/en/players/6e5a3bc7/Raphael-Veiga"
"5",NA,"2023 Palmeiras","Série A","Joaquín Piquerez","URU","DF","24",28.1,1810,77,447,852,536,34,1809,43,17,39.5,23,53.5,979,4981,2675,55,39,6,38,17,1073,163,"https://fbref.com/en/players/46009f44/Joaquin-Piquerez"
"6",NA,"2023 Palmeiras","Série A","Mayke","BRA","DF,FW","30",27.8,1889,61,484,890,525,41,1889,29,15,51.7,14,48.3,1128,5433,2762,56,45,9,32,16,1227,170,"https://fbref.com/en/players/47431289/Mayke"
"7",NA,"2023 Palmeiras","Série A","Murilo Cerqueira","BRA","DF","25",24.1,1470,165,736,708,36,16,1470,8,6,75,1,12.5,862,4310,2383,14,7,1,3,2,1021,1,"https://fbref.com/en/players/10fe831e/Murilo-Cerqueira"
"8",NA,"2023 Palmeiras","Série A","Artur","BRA","FW","24",21.1,1037,13,106,410,537,90,1037,60,35,58.3,23,38.3,671,4387,2391,85,57,23,52,18,792,218,"https://fbref.com/en/players/105132cd/Artur"
"9",NA,"2023 Palmeiras","Série A","Luan Garcia","BRA","DF","29",20.2,1208,134,530,645,35,22,1208,8,7,87.5,1,12.5,748,3489,1952,12,6,0,9,2,818,0,"https://fbref.com/en/players/6ebe6cc1/Luan-Garcia"
"10",NA,"2023 Palmeiras","Série A","Gabriel Menino","BRA","MF","22",17.7,1334,20,222,795,324,15,1334,28,13,46.4,10,35.7,791,4356,2344,44,35,3,24,18,950,54,"https://fbref.com/en/players/01819e70/Gabriel-Menino"
"11",NA,"2023 Palmeiras","Série A","Richard Ríos","COL","MF","22",20.6,1073,24,178,615,303,26,1073,62,46,74.2,11,17.7,603,3383,1563,41,27,9,46,34,655,67,"https://fbref.com/en/players/72da065d/Richard-Rios"
"12",NA,"2023 Palmeiras","Série A","Rony","BRA","FW","27",18.2,405,14,32,118,256,86,405,18,6,33.3,10,55.6,225,1124,383,17,4,8,35,10,304,99,"https://fbref.com/en/players/bffd5e50/Rony"
"13",NA,"2023 Palmeiras","Série A","Endrick","BRA","FW","16",17.3,570,6,21,262,300,72,569,74,34,45.9,35,47.3,383,2896,1501,58,38,27,58,21,437,100,"https://fbref.com/en/players/a2728fbf/Endrick"
"14",NA,"2023 Palmeiras","Série A","Marcos Rocha","BRA","DF","34",14,1168,54,379,607,197,6,1168,16,11,68.8,5,31.3,625,3083,1900,20,11,3,7,3,730,31,"https://fbref.com/en/players/fdd2f275/Marcos-Rocha"
"15",NA,"2023 Palmeiras","Série A","Breno","BRA","FW","27",15.2,498,1,44,191,271,68,498,26,8,30.8,11,42.3,331,2344,1247,44,30,14,16,12,371,110,"https://fbref.com/en/players/e0016d00/Breno"
"16",NA,"2023 Palmeiras","Série A","Dudu","BRA","FW","31",12,556,2,42,210,315,56,556,68,41,60.3,19,27.9,390,3494,2066,78,51,28,24,11,429,127,"https://fbref.com/en/players/895ef5ec/Dudu"
"17",NA,"2023 Palmeiras","Série A","Vanderlan","BRA","DF","20",10.1,472,26,156,179,143,17,472,23,12,52.2,9,39.1,216,1166,549,20,11,6,8,8,246,61,"https://fbref.com/en/players/bd8432ff/Vanderlan"
"18",NA,"2023 Palmeiras","Série A","Jhonatan Jowjow","BRA","MF,FW","20",9.9,426,11,63,204,167,23,426,35,20,57.1,12,34.3,217,1265,522,16,7,6,17,24,262,37,"https://fbref.com/en/players/f82517a8/Jhonatan-Jowjow"
"19",NA,"2023 Palmeiras","Série A","José López","ARG","FW,MF","22",6.6,238,13,32,104,106,36,238,19,11,57.9,7,36.8,130,760,293,13,9,2,12,11,169,36,"https://fbref.com/en/players/e1426a52/Jose-Lopez"
"20",NA,"2023 Palmeiras","Série A","Kaiky Naves","BRA","DF,FW","20",5.8,316,36,167,148,4,2,316,1,1,100,0,0,169,749,388,2,2,0,1,1,197,0,"https://fbref.com/en/players/621576f9/Kaiky-Naves"
"21",NA,"2023 Palmeiras","Série A","Luis Guilherme","BRA","FW,MF","16",6.4,335,4,30,156,155,18,335,43,22,51.2,11,25.6,233,2020,1094,35,32,8,18,13,244,54,"https://fbref.com/en/players/b7672d43/Luis-Guilherme"
"22",NA,"2023 Palmeiras","Série A","Fabinho","BRA","MF","20",6.5,391,13,76,250,66,4,391,9,3,33.3,4,44.4,220,1017,541,8,4,0,12,2,252,7,"https://fbref.com/en/players/ff0e595c/Fabinho"
