"","Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","PlayerURL"
"1",NA,"2023 Palmeiras","Série A","Wéverton","BRA","GK","35",35,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/81be82e9/Weverton"
"2",NA,"2023 Palmeiras","Série A","Gustavo Gómez","PAR","DF","29",30.7,2,25,6,24,0.82,0.2,0.08,0.33,10.9,0,0,0,2.2,2.2,0.09,-0.2,-0.2,"https://fbref.com/en/players/d5ce52a5/Gustavo-Gomez"
"3",NA,"2023 Palmeiras","Série A","Zé Rafael","BRA","MF","29",28.5,3,35,11,31.4,1.23,0.39,0.09,0.27,21.3,2,0,0,2.1,2.1,0.06,0.9,0.9,"https://fbref.com/en/players/634b1413/Ze-Rafael"
"4",NA,"2023 Palmeiras","Série A","Raphael Veiga","BRA","MF","27",27.3,9,86,31,36,3.16,1.14,0.09,0.26,23.1,13,1,2,7.2,5.7,0.07,1.8,2.3,"https://fbref.com/en/players/6e5a3bc7/Raphael-Veiga"
"5",NA,"2023 Palmeiras","Série A","Joaquín Piquerez","URU","DF","24",28.1,3,32,6,18.8,1.14,0.21,0.06,0.33,26.1,3,1,1,2,1.3,0.04,1,0.7,"https://fbref.com/en/players/46009f44/Joaquin-Piquerez"
"6",NA,"2023 Palmeiras","Série A","Mayke","BRA","DF,FW","30",27.8,1,8,2,25,0.29,0.07,0.13,0.5,17.7,0,0,0,0.9,0.9,0.11,0.1,0.1,"https://fbref.com/en/players/47431289/Mayke"
"7",NA,"2023 Palmeiras","Série A","Murilo Cerqueira","BRA","DF","25",24.1,3,12,7,58.3,0.5,0.29,0.25,0.43,11.1,0,0,0,1,1,0.08,2,2,"https://fbref.com/en/players/10fe831e/Murilo-Cerqueira"
"8",NA,"2023 Palmeiras","Série A","Artur","BRA","FW","24",21.1,5,47,17,36.2,2.23,0.81,0.11,0.29,16.8,1,0,0,5,5,0.11,0,0,"https://fbref.com/en/players/105132cd/Artur"
"9",NA,"2023 Palmeiras","Série A","Luan Garcia","BRA","DF","29",20.2,1,19,6,31.6,0.94,0.3,0.05,0.17,10.5,0,0,0,1.9,1.9,0.1,-0.9,-0.9,"https://fbref.com/en/players/6ebe6cc1/Luan-Garcia"
"10",NA,"2023 Palmeiras","Série A","Gabriel Menino","BRA","MF","22",17.7,2,34,7,20.6,1.92,0.4,0.06,0.29,25.2,3,0,0,1.7,1.7,0.05,0.3,0.3,"https://fbref.com/en/players/01819e70/Gabriel-Menino"
"11",NA,"2023 Palmeiras","Série A","Richard Ríos","COL","MF","22",20.6,2,38,10,26.3,1.85,0.49,0.05,0.2,25.2,1,0,0,1.2,1.2,0.03,0.8,0.8,"https://fbref.com/en/players/72da065d/Richard-Rios"
"12",NA,"2023 Palmeiras","Série A","Rony","BRA","FW","27",18.2,5,51,18,35.3,2.8,0.99,0.1,0.28,13.1,1,0,0,6.1,6.1,0.12,-1.1,-1.1,"https://fbref.com/en/players/bffd5e50/Rony"
"13",NA,"2023 Palmeiras","Série A","Endrick","BRA","FW","16",17.3,11,49,25,51,2.83,1.44,0.22,0.44,17.4,1,0,1,8.1,7.3,0.15,2.9,3.7,"https://fbref.com/en/players/a2728fbf/Endrick"
"14",NA,"2023 Palmeiras","Série A","Marcos Rocha","BRA","DF","34",14,1,4,1,25,0.28,0.07,0.25,1,19.7,0,0,0,0.4,0.4,0.09,0.6,0.6,"https://fbref.com/en/players/fdd2f275/Marcos-Rocha"
"15",NA,"2023 Palmeiras","Série A","Breno","BRA","FW","27",15.2,5,49,24,49,3.23,1.58,0.1,0.21,14.8,0,0,0,6.8,6.8,0.14,-1.8,-1.8,"https://fbref.com/en/players/e0016d00/Breno"
"16",NA,"2023 Palmeiras","Série A","Dudu","BRA","FW","31",12,3,35,10,28.6,2.93,0.84,0.09,0.3,19,0,0,0,2.4,2.4,0.07,0.6,0.6,"https://fbref.com/en/players/895ef5ec/Dudu"
"17",NA,"2023 Palmeiras","Série A","Vanderlan","BRA","DF","20",10.1,0,6,1,16.7,0.59,0.1,0,0,18.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3,"https://fbref.com/en/players/bd8432ff/Vanderlan"
