"","Season","Squad","Comp","Player","Nation","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","PlayerURL","MP_Playing_Time"
"1",NA,"2023 Palmeiras","Série A","Wéverton","BRA","GK","35",35,35,3150,35,0,0,0,0,0,0,2,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/81be82e9/Weverton",NA
"2",NA,"2023 Palmeiras","Série A","Gustavo Gómez","PAR","DF","29",32,32,2760,30.7,2,3,5,2,0,0,10,2,2.2,2.2,2.8,4.9,13,86,19,0.07,0.1,0.16,0.07,0.16,0.07,0.09,0.16,0.07,0.16,"https://fbref.com/en/players/d5ce52a5/Gustavo-Gomez",NA
"3",NA,"2023 Palmeiras","Série A","Zé Rafael","BRA","MF","29",31,31,2565,28.5,3,3,6,3,0,0,10,0,2.1,2.1,1.9,4,42,142,39,0.11,0.11,0.21,0.11,0.21,0.07,0.07,0.14,0.07,0.14,"https://fbref.com/en/players/634b1413/Ze-Rafael",NA
"4",NA,"2023 Palmeiras","Série A","Raphael Veiga","BRA","MF","27",31,30,2453,27.3,9,7,16,8,1,2,5,0,7.2,5.7,7.1,12.8,80,186,121,0.33,0.26,0.59,0.29,0.55,0.26,0.26,0.53,0.21,0.47,"https://fbref.com/en/players/6e5a3bc7/Raphael-Veiga",NA
"5",NA,"2023 Palmeiras","Série A","Joaquín Piquerez","URU","DF","24",29,29,2526,28.1,3,5,8,2,1,1,5,0,2,1.3,3.7,4.9,55,128,163,0.11,0.18,0.29,0.07,0.25,0.07,0.13,0.2,0.04,0.18,"https://fbref.com/en/players/46009f44/Joaquin-Piquerez",NA
"6",NA,"2023 Palmeiras","Série A","Mayke","BRA","DF,FW","30",33,28,2498,27.8,1,6,7,1,0,0,7,0,0.9,0.9,4.3,5.2,56,144,170,0.04,0.22,0.25,0.04,0.25,0.03,0.16,0.19,0.03,0.19,"https://fbref.com/en/players/47431289/Mayke",NA
"7",NA,"2023 Palmeiras","Série A","Murilo Cerqueira","BRA","DF","25",25,24,2165,24.1,3,2,5,3,0,0,6,1,1,1,1.7,2.7,14,81,1,0.12,0.08,0.21,0.12,0.21,0.04,0.07,0.11,0.04,0.11,"https://fbref.com/en/players/10fe831e/Murilo-Cerqueira",NA
"8",NA,"2023 Palmeiras","Série A","Artur","BRA","FW","24",31,22,1896,21.1,5,2,7,5,0,0,2,0,5,5,3.4,8.4,85,81,218,0.24,0.09,0.33,0.24,0.33,0.24,0.16,0.4,0.24,0.4,"https://fbref.com/en/players/105132cd/Artur",NA
"9",NA,"2023 Palmeiras","Série A","Luan Garcia","BRA","DF","29",23,21,1819,20.2,1,1,2,1,0,0,5,0,1.9,1.9,0.6,2.5,12,80,0,0.05,0.05,0.1,0.05,0.1,0.1,0.03,0.12,0.1,0.12,"https://fbref.com/en/players/6ebe6cc1/Luan-Garcia",NA
"10",NA,"2023 Palmeiras","Série A","Gabriel Menino","BRA","MF","22",24,21,1593,17.7,2,3,5,2,0,0,5,0,1.7,1.7,1.3,3,44,137,54,0.11,0.17,0.28,0.11,0.28,0.09,0.08,0.17,0.09,0.17,"https://fbref.com/en/players/01819e70/Gabriel-Menino",NA
