"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxGPlus_Minus_Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal_Kicks","Launch_percent_Goal_Kicks","AvgLen_Goal_Kicks","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper"
"1","Campeonato Brasileiro Série A","M","BRA",2023,"América (MG)","team",4,38,81,5,3,6,3,73,0.31,-5,-0.13,184,427,43.1,629,180,44,37,307,48.9,39.2,691,57,8.2,35,0.92,6.8
"2","Campeonato Brasileiro Série A","M","BRA",2023,"Ath Paranaense","team",2,38,43,4,1,6,0,47.2,0.24,4.2,0.11,137,462,29.7,686,152,44.5,37.9,325,48.3,41,562,36,6.4,24,0.63,11.9
"3","Campeonato Brasileiro Série A","M","BRA",2023,"Atlético Mineiro","team",2,38,32,2,1,1,1,42.6,0.29,11.6,0.3,208,513,40.5,794,136,51.9,37.1,334,30.2,27.5,564,32,5.7,36,0.95,14.2
"4","Campeonato Brasileiro Série A","M","BRA",2023,"Bahia","team",3,38,53,6,1,4,1,60,0.29,8,0.21,201,513,39.2,884,141,42.3,36.1,277,50.2,40.4,465,28,6,39,1.03,14.8
"5","Campeonato Brasileiro Série A","M","BRA",2023,"Botafogo (RJ)","team",2,38,37,0,0,2,1,49.6,0.3,13.6,0.36,206,537,38.4,787,199,50.1,30.4,293,48.8,39.1,583,35,6,47,1.24,18.4
"6","Campeonato Brasileiro Série A","M","BRA",2023,"Bragantino","team",2,38,35,7,0,4,1,43.8,0.28,9.8,0.26,165,491,33.6,885,171,45.6,39.4,293,29.7,30.6,439,16,3.6,70,1.84,18.2
"7","Campeonato Brasileiro Série A","M","BRA",2023,"Corinthians","team",2,38,48,6,0,8,1,56.2,0.27,9.2,0.24,174,368,47.3,761,153,33.9,33.8,385,28.6,29.6,673,29,4.3,13,0.34,10.8
"8","Campeonato Brasileiro Série A","M","BRA",2023,"Coritiba","team",3,38,73,9,2,11,2,63.3,0.25,-7.7,-0.2,199,570,34.9,880,183,45.2,38.3,325,52.9,42.2,685,51,7.4,35,0.92,12.3
"9","Campeonato Brasileiro Série A","M","BRA",2023,"Cruzeiro","team",2,38,32,2,2,3,0,42,0.29,10,0.26,176,421,41.8,931,158,32.9,32.5,306,37.6,35,489,19,3.9,20,0.53,10
"10","Campeonato Brasileiro Série A","M","BRA",2023,"Cuiabá","team",2,38,39,4,0,3,2,44.7,0.27,7.7,0.2,192,424,45.3,708,148,37.6,34.8,289,54.7,41.5,590,37,6.3,15,0.39,9.8
