"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","xG_Home","xGA_Home","xGD_Home","xGD_per_90_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away","xG_Away","xGA_Away","xGD_Away","xGD_per_90_Away"
"1","Campeonato Brasileiro Série A","M","BRA",2023,"América (MG)","team","20","19","5","2","12","21","38","-17","17","0.89","25.7","28.0","-2.3","-0.12","19","0","7","12","21","43","-22","7","0.37","21.1","34.8","-13.6","-0.72"
"2","Campeonato Brasileiro Série A","M","BRA",2023,"Ath Paranaense","team","8","19","10","8","1","33","19","+14","38","2.00","32.5","19.0","+13.5","+0.71","19","4","6","9","18","24","-6","18","0.95","18.6","27.6","-9.0","-0.48"
"3","Campeonato Brasileiro Série A","M","BRA",2023,"Atlético Mineiro","team","3","19","11","3","5","28","16","+12","36","1.89","25.1","18.0","+7.1","+0.37","19","8","6","5","24","16","+8","30","1.58","21.4","22.9","-1.4","-0.08"
"4","Campeonato Brasileiro Série A","M","BRA",2023,"Bahia","team","16","19","8","5","6","29","21","+8","29","1.53","27.3","21.2","+6.1","+0.32","19","4","3","12","21","32","-11","15","0.79","23.4","30.0","-6.6","-0.35"
"5","Campeonato Brasileiro Série A","M","BRA",2023,"Botafogo (RJ)","team","5","19","11","4","4","36","17","+19","37","1.95","33.3","19.5","+13.8","+0.73","19","7","6","6","22","20","+2","27","1.42","16.9","29.4","-12.5","-0.66"
"6","Campeonato Brasileiro Série A","M","BRA",2023,"Bragantino","team","6","19","11","5","3","28","14","+14","38","2.00","34.9","17.2","+17.7","+0.93","19","6","6","7","21","21","0","24","1.26","22.9","25.4","-2.5","-0.13"
"7","Campeonato Brasileiro Série A","M","BRA",2023,"Corinthians","team","13","19","6","10","3","26","23","+3","28","1.47","24.5","20.4","+4.1","+0.22","19","6","4","9","21","25","-4","22","1.16","15.6","28.8","-13.2","-0.70"
"8","Campeonato Brasileiro Série A","M","BRA",2023,"Coritiba","team","19","19","4","4","11","17","28","-11","16","0.84","22.6","24.7","-2.1","-0.11","19","4","2","13","24","45","-21","14","0.74","16.5","35.8","-19.3","-1.02"
"9","Campeonato Brasileiro Série A","M","BRA",2023,"Cruzeiro","team","14","19","4","8","7","14","17","-3","20","1.05","26.5","18.1","+8.4","+0.44","19","7","6","6","21","15","+6","27","1.42","21.2","23.6","-2.4","-0.13"
"10","Campeonato Brasileiro Série A","M","BRA",2023,"Cuiabá","team","12","19","6","6","7","23","22","+1","24","1.26","22.8","20.1","+2.6","+0.14","19","8","3","8","17","17","0","27","1.42","15.9","22.1","-6.1","-0.32"
"11","Campeonato Brasileiro Série A","M","BRA",2023,"Flamengo","team","4","19","10","5","4","26","16","+10","35","1.84","27.0","21.6","+5.4","+0.28","19","9","4","6","30","26","+4","31","1.63","22.8","23.5","-0.7","-0.03"
"12","Campeonato Brasileiro Série A","M","BRA",2023,"Fluminense","team","7","19","13","4","2","33","18","+15","43","2.26","28.6","17.9","+10.7","+0.56","19","3","4","12","18","29","-11","13","0.68","21.7","30.4","-8.7","-0.46"
"13","Campeonato Brasileiro Série A","M","BRA",2023,"Fortaleza","team","10","19","9","6","4","28","20","+8","33","1.74","32.5","17.5","+15.0","+0.79","19","6","3","10","17","24","-7","21","1.11","18.8","26.3","-7.5","-0.39"
"14","Campeonato Brasileiro Série A","M","BRA",2023,"Goiás","team","18","19","5","7","7","19","25","-6","22","1.16","21.2","19.8","+1.4","+0.07","19","4","4","11","17","28","-11","16","0.84","15.3","26.1","-10.8","-0.57"
"15","Campeonato Brasileiro Série A","M","BRA",2023,"Grêmio","team","2","19","14","2","3","34","16","+18","44","2.32","26.0","18.8","+7.2","+0.38","19","7","3","9","29","40","-11","24","1.26","24.0","36.6","-12.5","-0.66"
"16","Campeonato Brasileiro Série A","M","BRA",2023,"Internacional","team","9","19","9","5","5","30","21","+9","32","1.68","25.1","20.6","+4.5","+0.24","19","6","5","8","16","24","-8","23","1.21","17.1","26.5","-9.4","-0.50"
"17","Campeonato Brasileiro Série A","M","BRA",2023,"Palmeiras","team","1","19","14","2","3","35","12","+23","44","2.32","35.6","11.8","+23.9","+1.26","19","6","8","5","29","21","+8","26","1.37","21.5","27.4","-5.9","-0.31"
"18","Campeonato Brasileiro Série A","M","BRA",2023,"Santos","team","17","19","6","7","6","26","28","-2","25","1.32","25.4","20.8","+4.6","+0.24","19","5","3","11","13","36","-23","18","0.95","17.1","30.2","-13.0","-0.69"
"19","Campeonato Brasileiro Série A","M","BRA",2023,"São Paulo","team","11","19","13","3","3","29","13","+16","42","2.21","30.0","14.1","+15.9","+0.84","19","1","8","10","11","25","-14","11","0.58","19.0","22.6","-3.6","-0.19"
"20","Campeonato Brasileiro Série A","M","BRA",2023,"Vasco da Gama","team","15","19","9","2","8","24","23","+1","29","1.53","29.5","19.9","+9.6","+0.51","19","3","7","9","17","28","-11","16","0.84","18.1","26.3","-8.2","-0.43"
