"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP","W","D","L","GF","GA","GD","Pts","Pts.MP","xG","xGA","xGD","xGD.90","Attendance","Top.Team.Scorer","Goalkeeper","Notes"
"1","Campeonato Brasileiro Série A","M","BRA",2023,"América (MG)","team",20,38,5,9,24,42,81,-39,24,0.63,46.9,62.8,-15.9,-0.42,2250,"Gonzalo Mastriani - 11","Matheus Cavichioli","Relegated"
"2","Campeonato Brasileiro Série A","M","BRA",2023,"Ath Paranaense","team",8,38,14,14,10,51,43,8,56,1.47,51.1,46.6,4.5,0.12,13349,"Vitor Roque - 12","Bento",""
"3","Campeonato Brasileiro Série A","M","BRA",2023,"Atlético Mineiro","team",3,38,19,9,10,52,32,20,66,1.74,46.5,40.8,5.7,0.15,15020,"Paulinho - 20","Éverson",""
"4","Campeonato Brasileiro Série A","M","BRA",2023,"Bahia","team",16,38,12,8,18,50,53,-3,44,1.16,50.6,51.1,-0.5,-0.01,26716,"Everaldo Stum - 9","Marcos Felipe",""
"5","Campeonato Brasileiro Série A","M","BRA",2023,"Botafogo (RJ)","team",5,38,18,10,10,58,37,21,64,1.68,50.2,48.9,1.3,0.03,22125,"Tiquinho Soares - 17","Lucas Perri",""
"6","Campeonato Brasileiro Série A","M","BRA",2023,"Bragantino","team",6,38,17,11,10,49,35,14,62,1.63,57.8,42.6,15.2,0.4,3110,"Eduardo Sasha - 11","Cleiton Schwengber",""
"7","Campeonato Brasileiro Série A","M","BRA",2023,"Corinthians","team",13,38,12,14,12,47,48,-1,50,1.32,40.1,49.2,-9.1,-0.24,24253,"Ángel Romero, Yuri Alberto - 8","Cássio",""
"8","Campeonato Brasileiro Série A","M","BRA",2023,"Coritiba","team",19,38,8,6,24,41,73,-32,30,0.79,39.1,60.5,-21.4,-0.56,9880,"Robson - 12","Gabriel","Relegated"
"9","Campeonato Brasileiro Série A","M","BRA",2023,"Cruzeiro","team",14,38,11,14,13,35,32,3,47,1.24,47.6,41.7,6,0.16,16669,"Bruno Nascimento - 8","Rafael Cabral",""
"10","Campeonato Brasileiro Série A","M","BRA",2023,"Cuiabá","team",12,38,14,9,15,40,39,1,51,1.34,38.7,42.2,-3.5,-0.09,8192,"Deyverson - 12","Walter",""
"11","Campeonato Brasileiro Série A","M","BRA",2023,"Flamengo","team",4,38,19,9,10,56,42,14,66,1.74,49.8,45.1,4.7,0.12,34644,"Pedro - 13","Matheus Cunha",""
"12","Campeonato Brasileiro Série A","M","BRA",2023,"Fluminense","team",7,38,16,8,14,51,47,4,56,1.47,50.3,48.3,2,0.05,23401,"Germán Cano - 10","Fábio",""
"13","Campeonato Brasileiro Série A","M","BRA",2023,"Fortaleza","team",10,38,15,9,14,45,44,1,54,1.42,51.4,43.8,7.5,0.2,21666,"Juan Martín Lucero - 9","João Ricardo Riedi",""
"14","Campeonato Brasileiro Série A","M","BRA",2023,"Goiás","team",18,38,9,11,18,36,53,-17,38,1,36.5,45.9,-9.4,-0.25,6342,"Guilherme - 6","Tadeu","Relegated"
"15","Campeonato Brasileiro Série A","M","BRA",2023,"Grêmio","team",2,38,21,5,12,63,56,7,68,1.79,50,55.3,-5.3,-0.14,20527,"Luis Suárez - 17","Gabriel Chapecó",""
"16","Campeonato Brasileiro Série A","M","BRA",2023,"Internacional","team",9,38,15,10,13,46,45,1,55,1.45,42.2,47.1,-4.9,-0.13,11509,"Enner Valencia - 9","Sergio Rochet",""
"17","Campeonato Brasileiro Série A","M","BRA",2023,"Palmeiras","team",1,38,20,10,8,64,33,31,70,1.84,57.1,39.2,18,0.47,22462,"Endrick - 11","Wéverton",""
"18","Campeonato Brasileiro Série A","M","BRA",2023,"Santos","team",17,38,11,10,17,39,64,-25,43,1.13,42.5,51,-8.5,-0.22,6132,"Marcos Leonardo - 13","João Paulo","Relegated"
"19","Campeonato Brasileiro Série A","M","BRA",2023,"São Paulo","team",11,38,14,11,13,40,38,2,53,1.39,49,36.6,12.4,0.33,25306,"Luciano, Jonathan Calleri - 9","Rafael Pires",""
"20","Campeonato Brasileiro Série A","M","BRA",2023,"Vasco da Gama","team",15,38,12,9,17,41,51,-10,45,1.18,47.7,46.2,1.5,0.04,14513,"Pablo Vegetti - 10","Léo Jardim",""
