"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels"
"1","Campeonato Brasileiro Série A","M","BRA",2023,"América (MG)","team",46,38,89,10,3,550,460,62,730,374,342,1,8,3,2051,594,526,53
"2","Campeonato Brasileiro Série A","M","BRA",2023,"Ath Paranaense","team",40,38,109,4,1,580,505,67,685,358,342,3,7,0,1834,576,605,48.8
"3","Campeonato Brasileiro Série A","M","BRA",2023,"Atlético Mineiro","team",31,38,113,5,1,599,475,61,655,351,485,5,2,1,1946,484,561,46.3
"4","Campeonato Brasileiro Série A","M","BRA",2023,"Bahia","team",35,38,99,5,3,549,512,54,705,398,433,3,6,1,1939,540,494,52.2
"5","Campeonato Brasileiro Série A","M","BRA",2023,"Botafogo (RJ)","team",36,38,91,4,1,515,489,41,703,412,375,6,1,1,1859,554,552,50.1
"6","Campeonato Brasileiro Série A","M","BRA",2023,"Bragantino","team",35,38,108,6,1,603,470,52,918,399,392,2,8,1,2257,602,645,48.3
"7","Campeonato Brasileiro Série A","M","BRA",2023,"Corinthians","team",36,38,91,3,0,475,509,55,650,324,365,5,7,1,1781,525,468,52.9
"8","Campeonato Brasileiro Série A","M","BRA",2023,"Coritiba","team",47,38,124,5,3,586,531,62,626,384,417,6,10,2,1900,570,609,48.3
"9","Campeonato Brasileiro Série A","M","BRA",2023,"Cruzeiro","team",38,38,101,4,2,570,471,71,812,336,390,3,3,0,1942,529,569,48.2
"10","Campeonato Brasileiro Série A","M","BRA",2023,"Cuiabá","team",30,38,90,3,3,473,564,77,828,295,411,7,4,2,1824,613,493,55.4
"11","Campeonato Brasileiro Série A","M","BRA",2023,"Flamengo","team",32,38,85,5,0,493,519,51,640,299,411,9,7,0,1902,454,405,52.9
"12","Campeonato Brasileiro Série A","M","BRA",2023,"Fluminense","team",37,38,122,9,4,506,560,75,707,258,339,4,6,1,1802,427,450,48.7
"13","Campeonato Brasileiro Série A","M","BRA",2023,"Fortaleza","team",32,38,95,1,1,519,533,84,769,352,422,5,7,2,1875,567,532,51.6
"14","Campeonato Brasileiro Série A","M","BRA",2023,"Goiás","team",42,38,107,6,3,637,577,86,701,347,382,5,5,1,1774,633,633,50
"15","Campeonato Brasileiro Série A","M","BRA",2023,"Grêmio","team",44,38,102,5,3,480,537,59,577,341,372,4,5,1,2019,500,537,48.2
"16","Campeonato Brasileiro Série A","M","BRA",2023,"Internacional","team",35,38,111,6,2,518,497,60,607,316,371,4,7,1,1816,450,562,44.5
"17","Campeonato Brasileiro Série A","M","BRA",2023,"Palmeiras","team",33,38,94,4,2,583,585,100,917,298,380,3,5,1,1871,491,490,50.1
"18","Campeonato Brasileiro Série A","M","BRA",2023,"Santos","team",46,38,105,8,3,573,549,67,725,372,433,5,6,3,1906,585,520,52.9
"19","Campeonato Brasileiro Série A","M","BRA",2023,"São Paulo","team",38,38,106,5,3,530,532,77,664,262,346,6,9,1,1859,490,486,50.2
"20","Campeonato Brasileiro Série A","M","BRA",2023,"Vasco da Gama","team",39,38,101,6,3,557,510,67,889,316,361,3,4,0,1853,530,568,48.3
