"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP"
"1","Campeonato Brasileiro Série A","M","BRA",2023,"América (MG)","team",46,38,11505,15314,75.1,205977,86299,5203,6068,85.7,4594,5706,80.5,1332,2562,52,30,34.6,36.1,-4.6,395,1044,294,111,1387
"2","Campeonato Brasileiro Série A","M","BRA",2023,"Ath Paranaense","team",40,38,13155,16901,77.8,243834,90412,5658,6465,87.5,5691,6694,85,1560,2906,53.7,38,38.9,35.8,-0.9,419,1096,293,88,1361
"3","Campeonato Brasileiro Série A","M","BRA",2023,"Atlético Mineiro","team",31,38,15531,19246,80.7,274973,97632,6997,7827,89.4,6531,7512,86.9,1605,2885,55.6,35,33.4,33.3,1.6,347,1270,269,69,1406
"4","Campeonato Brasileiro Série A","M","BRA",2023,"Bahia","team",35,38,13879,17608,78.8,244555,89956,6303,7213,87.4,5783,6838,84.6,1411,2561,55.1,28,31.8,33.9,-3.8,402,1176,304,79,1498
"5","Campeonato Brasileiro Série A","M","BRA",2023,"Botafogo (RJ)","team",36,38,13899,17464,79.6,257384,92362,5923,6725,88.1,5973,6988,85.5,1691,2926,57.8,40,33.2,32.6,6.8,393,1270,261,98,1436
"6","Campeonato Brasileiro Série A","M","BRA",2023,"Bragantino","team",35,38,14605,18997,76.9,261307,99302,6617,7616,86.9,6000,7206,83.3,1629,3060,53.2,30,39.1,40.9,-9.1,465,1410,341,87,1766
"7","Campeonato Brasileiro Série A","M","BRA",2023,"Corinthians","team",36,38,15461,18965,81.5,275471,98332,6876,7660,89.8,6673,7704,86.6,1578,2710,58.2,28,26.6,27.5,1.4,346,1211,220,73,1378
"8","Campeonato Brasileiro Série A","M","BRA",2023,"Coritiba","team",47,38,11816,15456,76.4,215487,84241,5200,6075,85.6,5036,6007,83.8,1316,2576,51.1,25,25.4,24,-0.4,301,955,209,77,1147
"9","Campeonato Brasileiro Série A","M","BRA",2023,"Cruzeiro","team",38,38,14361,18199,78.9,269480,97157,5880,6775,86.8,6428,7456,86.2,1801,3051,59,26,34.7,36.8,-8.7,399,1321,300,87,1644
"10","Campeonato Brasileiro Série A","M","BRA",2023,"Cuiabá","team",30,38,12492,16081,77.7,230199,89227,5343,6161,86.7,5380,6413,83.9,1490,2661,56,24,24.7,26.3,-0.7,318,1112,231,76,1359
"11","Campeonato Brasileiro Série A","M","BRA",2023,"Flamengo","team",32,38,18271,21648,84.4,310513,103065,8803,9649,91.2,7544,8435,89.4,1514,2541,59.6,39,34.1,42.3,4.9,388,1697,387,74,1960
"12","Campeonato Brasileiro Série A","M","BRA",2023,"Fluminense","team",37,38,19515,22732,85.8,301871,96814,10600,11429,92.7,6945,7739,89.7,1274,2173,58.6,36,36.4,35.7,-0.4,425,1502,322,86,1624
"13","Campeonato Brasileiro Série A","M","BRA",2023,"Fortaleza","team",32,38,12719,16373,77.7,231618,84185,5503,6259,87.9,5439,6499,83.7,1458,2698,54,29,34.9,31.2,-5.9,388,1190,286,92,1453
"14","Campeonato Brasileiro Série A","M","BRA",2023,"Goiás","team",42,38,12142,15803,76.8,231387,90787,4988,5742,86.9,5214,6237,83.6,1655,2906,57,22,24.5,27.4,-2.5,355,975,240,69,1290
"15","Campeonato Brasileiro Série A","M","BRA",2023,"Grêmio","team",44,38,13305,17273,77,223701,89728,6431,7463,86.2,5153,6240,82.6,1252,2455,51,45,36.3,36.6,8.7,387,1136,308,58,1541
