"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Poss","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_Ons","Succ_Take_Ons","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving"
"1","Campeonato Brasileiro Série A","M","BRA",2023,"América (MG)","team",46,43.1,38,19682,2157,6161,8822,4981,765,19676,751,360,47.9,315,41.9,10711,63454,33045,638,475,130,571,305,11379,1368
"2","Campeonato Brasileiro Série A","M","BRA",2023,"Ath Paranaense","team",40,48.5,38,21062,2178,6471,9960,4847,765,21058,672,343,51,268,39.9,11363,58928,29330,592,447,124,534,313,13031,1349
"3","Campeonato Brasileiro Série A","M","BRA",2023,"Atlético Mineiro","team",31,52.8,38,23481,2357,6969,11490,5274,638,23475,720,377,52.4,285,39.6,13528,72539,38672,657,550,144,577,363,15366,1394
"4","Campeonato Brasileiro Série A","M","BRA",2023,"Bahia","team",35,49.7,38,21845,2131,6532,10217,5340,749,21841,730,356,48.8,314,43,12213,66845,35685,687,534,124,577,303,13731,1489
"5","Campeonato Brasileiro Série A","M","BRA",2023,"Botafogo (RJ)","team",36,48.1,38,21760,2061,6292,10669,5028,712,21753,792,386,48.7,323,40.8,12183,68333,34347,659,481,148,564,313,13789,1422
"6","Campeonato Brasileiro Série A","M","BRA",2023,"Bragantino","team",35,56.5,38,23577,1921,5924,10696,7203,869,23574,877,436,49.7,359,40.9,13200,71330,36921,716,613,164,655,378,14463,1749
"7","Campeonato Brasileiro Série A","M","BRA",2023,"Corinthians","team",36,48.8,38,23133,2621,7663,10927,4760,616,23126,698,315,45.1,307,44,13234,65951,33920,641,454,116,523,237,15326,1353
"8","Campeonato Brasileiro Série A","M","BRA",2023,"Coritiba","team",47,43.9,38,19986,2497,7104,8893,4249,555,19977,805,391,48.6,325,40.4,10780,58755,29655,552,415,110,595,325,11716,1135
"9","Campeonato Brasileiro Série A","M","BRA",2023,"Cruzeiro","team",38,51.5,38,22260,2125,6449,10310,5731,682,22257,742,373,50.3,305,41.1,12508,68207,36467,636,488,132,581,289,14214,1631
"10","Campeonato Brasileiro Série A","M","BRA",2023,"Cuiabá","team",30,43.8,38,20073,2120,6183,9385,4718,593,20065,635,336,52.9,218,34.3,10658,58492,31210,576,444,111,583,293,12350,1347
