"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected"
"1","Campeonato Brasileiro Série A","M","BRA",2023,"América (MG)","team",46,38,42,510,155,30.4,13.42,4.08,0.07,0.25,19,17,4,6,46.9,42.2,0.09,-4.9,-4.2
"2","Campeonato Brasileiro Série A","M","BRA",2023,"Ath Paranaense","team",40,38,51,551,168,30.5,14.5,4.42,0.09,0.28,19.3,23,4,4,51.1,48.2,0.09,-0.1,-1.2
"3","Campeonato Brasileiro Série A","M","BRA",2023,"Atlético Mineiro","team",31,38,51,480,165,34.4,12.63,4.34,0.09,0.27,20.1,43,6,6,46.5,42.3,0.09,4.5,2.7
"4","Campeonato Brasileiro Série A","M","BRA",2023,"Bahia","team",35,38,48,535,164,30.7,14.08,4.32,0.08,0.27,18.5,16,4,4,50.6,47.6,0.09,-2.6,-3.6
"5","Campeonato Brasileiro Série A","M","BRA",2023,"Botafogo (RJ)","team",36,38,56,516,168,32.6,13.58,4.42,0.1,0.3,19.2,21,5,7,50.2,44.6,0.09,5.8,6.4
"6","Campeonato Brasileiro Série A","M","BRA",2023,"Bragantino","team",35,38,48,635,208,32.8,16.71,5.47,0.07,0.22,19.3,27,3,3,57.8,55.4,0.09,-9.8,-10.4
"7","Campeonato Brasileiro Série A","M","BRA",2023,"Corinthians","team",36,38,45,455,156,34.3,11.97,4.11,0.09,0.25,19.3,18,6,7,40.1,34.7,0.08,4.9,4.3
"8","Campeonato Brasileiro Série A","M","BRA",2023,"Coritiba","team",47,38,40,420,140,33.3,11.05,3.68,0.08,0.23,20.3,30,8,9,39.1,32,0.08,0.9,0
"9","Campeonato Brasileiro Série A","M","BRA",2023,"Cruzeiro","team",38,38,32,525,162,30.9,13.82,4.26,0.06,0.19,19.3,28,2,4,47.6,44.4,0.09,-15.6,-14.4
"10","Campeonato Brasileiro Série A","M","BRA",2023,"Cuiabá","team",30,38,39,440,131,29.8,11.58,3.45,0.07,0.24,20.1,16,7,8,38.7,32.7,0.08,0.3,-0.7
"11","Campeonato Brasileiro Série A","M","BRA",2023,"Flamengo","team",32,38,55,490,168,34.3,12.89,4.42,0.1,0.28,18.3,15,8,9,49.8,42.7,0.09,5.2,4.3
"12","Campeonato Brasileiro Série A","M","BRA",2023,"Fluminense","team",37,38,51,545,202,37.1,14.34,5.32,0.09,0.24,19.5,18,3,5,50.3,46.4,0.09,0.7,1.6
"13","Campeonato Brasileiro Série A","M","BRA",2023,"Fortaleza","team",32,38,44,540,181,33.5,14.21,4.76,0.07,0.22,19.1,30,5,7,51.4,45.9,0.09,-7.4,-6.9
"14","Campeonato Brasileiro Série A","M","BRA",2023,"Goiás","team",42,38,35,492,133,27,12.95,3.5,0.06,0.23,19,20,5,5,36.5,32.7,0.07,-1.5,-2.7
"15","Campeonato Brasileiro Série A","M","BRA",2023,"Grêmio","team",44,38,61,500,186,37.2,13.16,4.89,0.11,0.3,18.1,18,5,7,50,44.6,0.09,11,11.4
"16","Campeonato Brasileiro Série A","M","BRA",2023,"Internacional","team",35,38,45,459,146,31.8,12.08,3.84,0.09,0.29,19.6,23,3,4,42.2,39,0.09,2.8,3
"17","Campeonato Brasileiro Série A","M","BRA",2023,"Palmeiras","team",33,38,62,609,206,33.8,16.03,5.42,0.1,0.29,18.6,26,2,4,57.1,54,0.09,4.9,6
