"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Age","Poss","MP_Playing_Time","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_plus_A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG_plus_xAG_Expected","PrgC_Progression","PrgP_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G_plus_A_Per_Minutes","G_minus_PK_Per_Minutes","G_plus_A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG_plus_xAG_Per_Minutes","npxG_Per_Minutes","npxG_plus_xAG_Per_Minutes"
"1","Campeonato Brasileiro Série A","M","BRA",2023,"América (MG)","team",46,29.9,43.1,38,418,3420,38,42,30,72,38,4,6,89,10,46.9,42.2,34.6,76.8,638,1387,1.11,0.79,1.89,1,1.79,1.23,0.91,2.14,1.11,2.02
"2","Campeonato Brasileiro Série A","M","BRA",2023,"Ath Paranaense","team",40,26.9,48.5,38,418,3420,38,51,38,89,47,4,4,109,4,51.1,48.2,38.9,87.1,592,1361,1.34,1,2.34,1.24,2.24,1.34,1.02,2.37,1.27,2.29
"3","Campeonato Brasileiro Série A","M","BRA",2023,"Atlético Mineiro","team",31,29.6,52.8,38,418,3420,38,51,35,86,45,6,6,113,5,46.5,42.3,33.4,75.7,657,1406,1.34,0.92,2.26,1.18,2.11,1.22,0.88,2.1,1.11,1.99
"4","Campeonato Brasileiro Série A","M","BRA",2023,"Bahia","team",35,27.7,49.7,38,418,3420,38,48,28,76,44,4,4,99,5,50.6,47.6,31.8,79.4,687,1498,1.26,0.74,2,1.16,1.89,1.33,0.84,2.17,1.25,2.09
"5","Campeonato Brasileiro Série A","M","BRA",2023,"Botafogo (RJ)","team",36,29.4,48.1,38,418,3420,38,56,40,96,51,5,7,91,4,50.2,44.6,33.2,77.8,659,1436,1.47,1.05,2.53,1.34,2.39,1.32,0.87,2.19,1.17,2.05
"6","Campeonato Brasileiro Série A","M","BRA",2023,"Bragantino","team",35,25.1,56.5,38,418,3420,38,48,30,78,45,3,3,108,6,57.8,55.4,39.1,94.5,716,1766,1.26,0.79,2.05,1.18,1.97,1.52,1.03,2.55,1.46,2.49
"7","Campeonato Brasileiro Série A","M","BRA",2023,"Corinthians","team",36,28.2,48.8,38,418,3420,38,45,28,73,39,6,7,91,3,40.1,34.7,26.6,61.3,641,1378,1.18,0.74,1.92,1.03,1.76,1.05,0.7,1.76,0.91,1.61
"8","Campeonato Brasileiro Série A","M","BRA",2023,"Coritiba","team",47,28,43.9,38,418,3420,38,40,25,65,32,8,9,124,5,39.1,32,25.4,57.4,552,1147,1.05,0.66,1.71,0.84,1.5,1.03,0.67,1.7,0.84,1.51
"9","Campeonato Brasileiro Série A","M","BRA",2023,"Cruzeiro","team",38,28.7,51.5,38,418,3420,38,32,26,58,30,2,4,101,4,47.6,44.4,34.7,79.1,636,1644,0.84,0.68,1.53,0.79,1.47,1.25,0.91,2.17,1.17,2.08
"10","Campeonato Brasileiro Série A","M","BRA",2023,"Cuiabá","team",30,29,43.8,38,418,3420,38,39,24,63,32,7,8,90,3,38.7,32.7,24.7,57.4,576,1359,1.03,0.63,1.66,0.84,1.47,1.02,0.65,1.67,0.86,1.51
"11","Campeonato Brasileiro Série A","M","BRA",2023,"Flamengo","team",32,27.6,57.4,38,418,3420,38,55,39,94,47,8,9,85,5,49.8,42.7,34.1,76.9,710,1960,1.45,1.03,2.47,1.24,2.26,1.31,0.9,2.21,1.12,2.02
"12","Campeonato Brasileiro Série A","M","BRA",2023,"Fluminense","team",37,30,61.6,38,418,3420,38,51,36,87,48,3,5,122,9,50.3,46.4,36.4,82.7,848,1624,1.34,0.95,2.29,1.26,2.21,1.32,0.96,2.28,1.22,2.18
"13","Campeonato Brasileiro Série A","M","BRA",2023,"Fortaleza","team",32,30.5,46.7,38,418,3420,38,44,29,73,39,5,7,95,1,51.4,45.9,34.9,80.8,692,1453,1.16,0.76,1.92,1.03,1.79,1.35,0.92,2.27,1.21,2.13
"14","Campeonato Brasileiro Série A","M","BRA",2023,"Goiás","team",42,28.6,44.6,38,418,3420,38,35,22,57,30,5,5,107,6,36.5,32.7,24.5,57.2,522,1290,0.92,0.58,1.5,0.79,1.37,0.96,0.65,1.61,0.86,1.51
"15","Campeonato Brasileiro Série A","M","BRA",2023,"Grêmio","team",44,28.7,46.7,38,418,3420,38,61,45,106,56,5,7,102,5,50,44.6,36.3,80.9,537,1541,1.61,1.18,2.79,1.47,2.66,1.31,0.95,2.27,1.17,2.13
"16","Campeonato Brasileiro Série A","M","BRA",2023,"Internacional","team",35,29.4,51.6,38,418,3420,38,45,30,75,42,3,4,111,6,42.2,39,29.1,68,612,1389,1.18,0.79,1.97,1.11,1.89,1.11,0.77,1.88,1.03,1.79
"17","Campeonato Brasileiro Série A","M","BRA",2023,"Palmeiras","team",33,27.7,52.7,38,418,3420,38,62,44,106,60,2,4,94,4,57.1,54,42.9,96.9,787,1593,1.63,1.16,2.79,1.58,2.74,1.5,1.13,2.63,1.42,2.55
"18","Campeonato Brasileiro Série A","M","BRA",2023,"Santos","team",46,27.4,44.5,38,418,3420,38,37,26,63,31,6,6,105,8,42.5,37.8,28.8,66.6,708,1242,0.97,0.68,1.66,0.82,1.5,1.12,0.76,1.88,1,1.75
"19","Campeonato Brasileiro Série A","M","BRA",2023,"São Paulo","team",38,27.6,59.5,38,418,3420,38,40,27,67,35,5,9,106,5,49,41.6,32.7,74.4,685,1672,1.05,0.71,1.76,0.92,1.63,1.29,0.86,2.15,1.1,1.96
"20","Campeonato Brasileiro Série A","M","BRA",2023,"Vasco da Gama","team",39,27.1,48,38,418,3420,38,41,30,71,37,4,4,101,6,47.7,44.6,32.4,77.1,618,1326,1.08,0.79,1.87,0.97,1.76,1.25,0.85,2.11,1.17,2.03
"21","Campeonato Brasileiro Série A","M","BRA",2023,"vs América (MG)","opponent",46,28.3,56.9,38,418,3420,38,78,57,135,73,5,8,76,5,62.8,56.3,44.4,100.7,871,1725,2.05,1.5,3.55,1.92,3.42,1.65,1.17,2.82,1.48,2.65
"22","Campeonato Brasileiro Série A","M","BRA",2023,"vs Ath Paranaense","opponent",40,28.5,51.5,38,418,3420,38,43,30,73,39,4,7,102,4,46.6,41,32.8,73.8,623,1382,1.13,0.79,1.92,1.03,1.82,1.23,0.86,2.09,1.08,1.94
"23","Campeonato Brasileiro Série A","M","BRA",2023,"vs Atlético Mineiro","opponent",31,28.2,47.2,38,418,3420,38,31,21,52,29,2,2,106,7,40.8,39.3,28.2,67.4,627,1473,0.82,0.55,1.37,0.76,1.32,1.07,0.74,1.82,1.03,1.77
"24","Campeonato Brasileiro Série A","M","BRA",2023,"vs Bahia","opponent",35,28.3,50.3,38,418,3420,38,52,35,87,46,6,6,94,5,51.1,46.6,35.8,82.4,665,1435,1.37,0.92,2.29,1.21,2.13,1.34,0.94,2.29,1.23,2.17
"25","Campeonato Brasileiro Série A","M","BRA",2023,"vs Botafogo (RJ)","opponent",36,28.3,51.9,38,418,3420,38,36,28,64,36,0,1,101,2,48.9,48.1,36.9,84.9,630,1520,0.95,0.74,1.68,0.95,1.68,1.29,0.97,2.26,1.27,2.24
"26","Campeonato Brasileiro Série A","M","BRA",2023,"vs Bragantino","opponent",35,28.4,43.5,38,418,3420,38,34,20,54,27,7,8,95,0,42.6,36.9,27.8,64.7,526,985,0.89,0.53,1.42,0.71,1.24,1.12,0.73,1.85,0.97,1.7
"27","Campeonato Brasileiro Série A","M","BRA",2023,"vs Corinthians","opponent",36,28.6,51.2,38,418,3420,38,47,34,81,41,6,7,98,6,49.2,43.8,35.4,79.2,818,1745,1.24,0.89,2.13,1.08,1.97,1.29,0.93,2.23,1.15,2.08
"28","Campeonato Brasileiro Série A","M","BRA",2023,"vs Coritiba","opponent",47,28.4,56.1,38,418,3420,38,71,45,116,62,9,10,97,4,60.5,52.6,38.3,90.9,660,1686,1.87,1.18,3.05,1.63,2.82,1.59,1.01,2.6,1.39,2.39
